Topic,Match Label,Difficulty Category,University A,Course A Subject,Course A Code,Course A Title,Course A Description,University B,Course B Subject,Course B Code,Course B Title,Course B Description,Annotator Initials,Notes
Calculus,2,easy,UCI,MATH,2A,Single-Variable Calculus I.,"Introduction to derivatives, calculation of derivatives of algebraic and trigonometric functions; applications including curve sketching, related rates, and optimization. Exponential and logarithm functions.",UCD,MAT,021A,Calculus,"Functions, limits, continuity. Slope and derivative. Differentiation of algebraic and transcendental functions. Applications to motion, natural growth, graphing, extrema of a function. Differentials. L'Hopital's rule.",YH,
Calculus,1,mid,UCLA,MATH,32A,Calculus of Several Variables,"Introduction to differential calculus of several variables, vector field theory.",UCSC,MATH,19A,"Calculus for Science, Engineering, and Mathematics","The limit of a function, calculating limits, continuity, tangents, velocities, and other instantaneous rates of change. Derivatives, the chain rule, implicit differentiation, higher derivatives. Exponential functions, inverse functions, and their derivatives. The mean value theorem, monotonic functions, concavity, and points of inflection. Applied maximum and minimum problems. .",YH,
Calculus,0,negative,UCD,MAT,021A,Calculus,"Functions, limits, continuity. Slope and derivative. Differentiation of algebraic and transcendental functions. Applications to motion, natural growth, graphing, extrema of a function. Differentials. L'Hopital's rule.",UCLA,MATH,32A,Calculus of Several Variables,"Introduction to differential calculus of several variables, vector field theory.",YH,
Calculus,1,mid,UCLA,MATH,3A,Calculus for Life Sciences Students,"Modeling with functions, limits, and derivatives, decisions and optimization in biology, derivative rules and tools.",UCSC,MATH,19A,"Calculus for Science, Engineering, and Mathematics","The limit of a function, calculating limits, continuity, tangents, velocities, and other instantaneous rates of change. Derivatives, the chain rule, implicit differentiation, higher derivatives. Exponential functions, inverse functions, and their derivatives. The mean value theorem, monotonic functions, concavity, and points of inflection. Applied maximum and minimum problems. .",TT,
Calculus,1,mid,UCLA,MATH,3A,Calculus for Life Sciences Students,"Modeling with functions, limits, and derivatives, decisions and optimization in biology, derivative rules and tools.",UCD,MAT,021A,Calculus,"Functions, limits, continuity. Slope and derivative. Differentiation of algebraic and transcendental functions. Applications to motion, natural growth, graphing, extrema of a function. Differentials. L'Hopital's rule.",TT,
Calculus,1,mid,UCLA,MATH,31A,Differential and Integral Calculus,Differential calculus and applications; introduction to integration.,UCD,MAT,021A,Calculus,"Functions, limits, continuity. Slope and derivative. Differentiation of algebraic and transcendental functions. Applications to motion, natural growth, graphing, extrema of a function. Differentials. L'Hopital's rule.",TT,
Calculus,1,mid,UCLA,MATH,31A,Differential and Integral Calculus,Differential calculus and applications; introduction to integration.,UCD,MAT,021B,Calculus,"Continuation of MAT 021A. Definition of definite integral, fundamental theorem of calculus, techniques of integration. Application to area, volume, arc length, average of a function, improper integral, surface of revolution.",TT,
Calculus,2,easy,UCI,MATH,2B,Single-Variable Calculus II.,Definite integrals; the fundamental theorem of calculus. Applications of integration including finding areas and volumes. Techniques of integration. Infinite sequences and series.,UCLA,MATH,31A,Differential and Integral Calculus,Differential calculus and applications; introduction to integration.,TT,
Calculus,2,easy,UCLA,MATH,32A,Calculus of Several Variables,"Introduction to differential calculus of several variables, vector field theory.",UCI,MATH,2D,Multivariable Calculus I.,"Differential and integral calculus of real-valued functions of several real variables, including applications. Polar coordinates.",TT,
Calculus,1,mid,UCLA,MATH,32A,Calculus of Several Variables,"Introduction to differential calculus of several variables, vector field theory.",UCI,MATH,2E,Multivariable Calculus II.,"The differential and integral calculus of vector-valued functions. Implicit and inverse function theorems. Line and surface integrals, divergence and curl, theorems of Greens, Gauss, and Stokes.",TT,
Calculus,1,mid,UCD,MAT,021C,Calculus,"Continuation of MAT 021B. Sequences, series, tests for convergence, Taylor expansions. Vector algebra, vector calculus, scalar and vector fields. Partial derivatives, total differentials. Applications to maximum and minimum problems in two or more variables. Applications to physical systems.",UCI,MATH,2D,Multivariable Calculus I.,"Differential and integral calculus of real-valued functions of several real variables, including applications. Polar coordinates.",TT,
Calculus,2,easy,UCD,MAT,021C,Calculus,"Continuation of MAT 021B. Sequences, series, tests for convergence, Taylor expansions. Vector algebra, vector calculus, scalar and vector fields. Partial derivatives, total differentials. Applications to maximum and minimum problems in two or more variables. Applications to physical systems.",UCI,MATH,2E,Multivariable Calculus II.,"The differential and integral calculus of vector-valued functions. Implicit and inverse function theorems. Line and surface integrals, divergence and curl, theorems of Greens, Gauss, and Stokes.",TT,
Calculus,2,mid,UCSC,MATH,23A,Vector Calculus,"Vectors in n-dimensional Euclidean space. The inner and cross products. The derivative of functions from n-dimensional to m-dimensional Euclidean space is studied as a linear transformation having matrix representation. Paths in 3-dimensions, arc length, vector differential calculus, Taylor's theorem in several variables, extrema of real-valued functions, constrained extrema and Lagrange multipliers, the implicit function theorem, some applications.",UCI,MATH,2D,Multivariable Calculus I.,"Differential and integral calculus of real-valued functions of several real variables, including applications. Polar coordinates.",TT,
Calculus,2,mid,UCSC,MATH,23A,Vector Calculus,"Vectors in n-dimensional Euclidean space. The inner and cross products. The derivative of functions from n-dimensional to m-dimensional Euclidean space is studied as a linear transformation having matrix representation. Paths in 3-dimensions, arc length, vector differential calculus, Taylor's theorem in several variables, extrema of real-valued functions, constrained extrema and Lagrange multipliers, the implicit function theorem, some applications.",UCI,MATH,2E,Multivariable Calculus II.,"The differential and integral calculus of vector-valued functions. Implicit and inverse function theorems. Line and surface integrals, divergence and curl, theorems of Greens, Gauss, and Stokes.",TT,
Calculus,1,mid,UCSC,MATH,23B,Vector Calculus,"Double integral, changing the order of integration. Triple integrals, maps of the plane, change of variables theorem, improper double integrals. Path integrals, line integrals, parametrized surfaces, area of a surface, surface integrals. Green's theorem, Stokes' theorem, conservative fields, Gauss' theorem. Applications to physics and differential equations, differential forms.",UCI,MATH,2D,Multivariable Calculus I.,"Differential and integral calculus of real-valued functions of several real variables, including applications. Polar coordinates.",TT,
Calculus,2,mid,UCSC,MATH,23B,Vector Calculus,"Double integral, changing the order of integration. Triple integrals, maps of the plane, change of variables theorem, improper double integrals. Path integrals, line integrals, parametrized surfaces, area of a surface, surface integrals. Green's theorem, Stokes' theorem, conservative fields, Gauss' theorem. Applications to physics and differential equations, differential forms.",UCI,MATH,2E,Multivariable Calculus II.,"The differential and integral calculus of vector-valued functions. Implicit and inverse function theorems. Line and surface integrals, divergence and curl, theorems of Greens, Gauss, and Stokes.",TT,
Calculus,1,mid,UCSC,MATH,22,Introduction to Calculus of Several Variables,"Functions of several variables. Continuity and partial derivatives. The chain rule, gradient and directional derivative. Maxima and minima, including Lagrange multipliers. The double and triple integral and change of variables. Surface area and volumes. Applications from biology, chemistry, earth sciences, engineering, and physics.",UCLA,MATH,32A,Calculus of Several Variables,"Introduction to differential calculus of several variables, vector field theory.",TT,
Calculus,2,easy,UCLA,MATH,32B,Calculus of Several Variables,"Introduction to integral calculus of several variables, line and surface integrals.",UCD,MAT,021D,Vector Analysis,"Continuation of MAT 021C. Definite integrals over plane and solid regions in various coordinate systems. Line and surface integrals. Green's theorem, Stoke's theorem, divergence theorem.",TT,
Calculus,2,mid,UCSC,MATH,23B,Vector Calculus,"Double integral, changing the order of integration. Triple integrals, maps of the plane, change of variables theorem, improper double integrals. Path integrals, line integrals, parametrized surfaces, area of a surface, surface integrals. Green's theorem, Stokes' theorem, conservative fields, Gauss' theorem. Applications to physics and differential equations, differential forms.",UCD,MAT,021D,Vector Analysis,"Continuation of MAT 021C. Definite integrals over plane and solid regions in various coordinate systems. Line and surface integrals. Green's theorem, Stoke's theorem, divergence theorem.",TT,
Calculus,1,mid,UCSC,MATH,23A,Vector Calculus,"Vectors in n-dimensional Euclidean space. The inner and cross products. The derivative of functions from n-dimensional to m-dimensional Euclidean space is studied as a linear transformation having matrix representation. Paths in 3-dimensions, arc length, vector differential calculus, Taylor's theorem in several variables, extrema of real-valued functions, constrained extrema and Lagrange multipliers, the implicit function theorem, some applications.",UCD,MAT,021D,Vector Analysis,"Continuation of MAT 021C. Definite integrals over plane and solid regions in various coordinate systems. Line and surface integrals. Green's theorem, Stoke's theorem, divergence theorem.",TT,
Calculus,0,negative,UCLA,MATH,31A,Differential and Integral Calculus,Differential calculus and applications; introduction to integration.,UCI,MATH,2D,Multivariable Calculus I.,"Differential and integral calculus of real-valued functions of several real variables, including applications. Polar coordinates.",TT,
Calculus,0,negative,UCI,MATH,2B,Single-Variable Calculus II.,Definite integrals; the fundamental theorem of calculus. Applications of integration including finding areas and volumes. Techniques of integration. Infinite sequences and series.,UCLA,MATH,32A,Calculus of Several Variables,"Introduction to differential calculus of several variables, vector field theory.",TT,
Calculus,0,negative,UCLA,MATH,3A,Calculus for Life Sciences Students,"Modeling with functions, limits, and derivatives, decisions and optimization in biology, derivative rules and tools.",UCSC,MATH,23B,Vector Calculus,"Double integral, changing the order of integration. Triple integrals, maps of the plane, change of variables theorem, improper double integrals. Path integrals, line integrals, parametrized surfaces, area of a surface, surface integrals. Green's theorem, Stokes' theorem, conservative fields, Gauss' theorem. Applications to physics and differential equations, differential forms.",TT,
Calculus,0,negative,UCD,MAT,021C,Calculus,"Continuation of MAT 021B. Sequences, series, tests for convergence, Taylor expansions. Vector algebra, vector calculus, scalar and vector fields. Partial derivatives, total differentials. Applications to maximum and minimum problems in two or more variables. Applications to physical systems.",UCSC,MATH,19A,"Calculus for Science, Engineering, and Mathematics","The limit of a function, calculating limits, continuity, tangents, velocities, and other instantaneous rates of change. Derivatives, the chain rule, implicit differentiation, higher derivatives. Exponential functions, inverse functions, and their derivatives. The mean value theorem, monotonic functions, concavity, and points of inflection. Applied maximum and minimum problems. .",TT,
Calculus,2,mid,UCSC,MATH,11A,Calculus with Applications,"A modern course stressing conceptual understanding, relevance, and problem solving. The derivative of polynomial, exponential, and trigonometric functions of a single variable is developed and applied to a wide range of problems involving graphing, approximation, and optimization.",UCD,MAT,019A,Calculus for Data-Driven Applications,"Calculus and other mathematical methods necessary in data driven analysis in the sciences, technology and the humanities.",TT,
Calculus,1,mid,UCD,MAT,017A,Calculus for Biology & Medicine,"Introduction to differential calculus via applications in biology and medicine. Limits, derivatives of polynomials, trigonometric, and exponential functions, graphing, applications of the derivative to biology and medicine.",UCSC,MATH,19A,"Calculus for Science, Engineering, and Mathematics","The limit of a function, calculating limits, continuity, tangents, velocities, and other instantaneous rates of change. Derivatives, the chain rule, implicit differentiation, higher derivatives. Exponential functions, inverse functions, and their derivatives. The mean value theorem, monotonic functions, concavity, and points of inflection. Applied maximum and minimum problems. .",TT,
Calculus,2,easy,UCLA,MATH,3A,Calculus for Life Sciences Students,"Modeling with functions, limits, and derivatives, decisions and optimization in biology, derivative rules and tools.",UCD,MAT,017A,Calculus for Biology & Medicine,"Introduction to differential calculus via applications in biology and medicine. Limits, derivatives of polynomials, trigonometric, and exponential functions, graphing, applications of the derivative to biology and medicine.",TT,
Calculus,1,mid,UCD,MAT,019C,Calculus for Data-Driven Applications,"Calculus and other mathematical methods necessary in data-driven analysis in the sciences, technology and the humanities. Multivariable calculus, differential equations, partial derivatives.",UCLA,MATH,32B,Calculus of Several Variables,"Introduction to integral calculus of several variables, line and surface integrals.",TT,
Calculus,2,mid,UCSC,AM,30,Multivariate Calculus for Engineers,"Advanced multivariate calculus for engineering majors. Coordinate systems, parametric curves, and surfaces; partial derivatives, gradient, Taylor expansion, stationary points, constrained optimization; integrals in multiple dimensions; integrals over curves and surfaces. Applications to engineering form an integral part of the course.",UCD,MAT,021C,Calculus,"Continuation of MAT 021B. Sequences, series, tests for convergence, Taylor expansions. Vector algebra, vector calculus, scalar and vector fields. Partial derivatives, total differentials. Applications to maximum and minimum problems in two or more variables. Applications to physical systems.",TT,
Calculus,2,mid,UCSC,AM,30,Multivariate Calculus for Engineers,"Advanced multivariate calculus for engineering majors. Coordinate systems, parametric curves, and surfaces; partial derivatives, gradient, Taylor expansion, stationary points, constrained optimization; integrals in multiple dimensions; integrals over curves and surfaces. Applications to engineering form an integral part of the course.",UCD,MAT,021D,Vector Analysis,"Continuation of MAT 021C. Definite integrals over plane and solid regions in various coordinate systems. Line and surface integrals. Green's theorem, Stoke's theorem, divergence theorem.",TT,
Calculus,2,easy,UCI,MATH,5A,Calculus for Life Sciences I.,"Differential calculus with applications to life sciences. Exponential, logarithmic, and trigonometric functions. Limits, differentiation techniques, optimization and difference equations.",UCLA,MATH,3A,Calculus for Life Sciences Students,"Modeling with functions, limits, and derivatives, decisions and optimization in biology, derivative rules and tools.",TT,
Calculus,2,easy,UCI,MATH,5A,Calculus for Life Sciences I.,"Differential calculus with applications to life sciences. Exponential, logarithmic, and trigonometric functions. Limits, differentiation techniques, optimization and difference equations.",UCD,MAT,017A,Calculus for Biology & Medicine,"Introduction to differential calculus via applications in biology and medicine. Limits, derivatives of polynomials, trigonometric, and exponential functions, graphing, applications of the derivative to biology and medicine.",TT,
Chinese Art,1,mid,UCD,AHI,163A,Early Chinese Art,"Thematic and chronological examination of 3000 years of Chinese art and culture from Neolithic through Tang Dynasty (10th c. CE). Study of ceremonial and secular objects manifesting folk beliefs and belief systems of ancestor worship, Buddhism, Daoism, and Confucianism.",UCLA,ART HIS,29,Chinese Art,"General introduction to Chinese art, covering all major periods from Neolithic to modern age. Presentation of monuments as well as artifacts in variety of media in their social and historical contexts.",YH,
Japan Art,2,easy,UCLA,ART HIS,30,Arts of Japan,"General introduction to art, architecture, and material culture of Japan, from earliest records to present.",UCD,AHI,164,The Arts of Japan,"Japan’s painting, architecture, decorative arts, and print heritage, ancient times to the 20th century in literary, political, intellectual, and spiritual contexts; impact of Japanese art on the West and the West’s transformative impact upon Japan’s opening in the 19th century.",YH,
Mediterranean Art,1,niche,UCLA,ART HIS,32,Arts of the Mediterranean,"Introduction to past and present cultural diversity of the Mediterranean world. Examination of the Mediterranean region as a connective space, rather than a boundary, between Europe and Africa.",UCI,ART HIS,110,Studies in Medieval Art.,"Specialized topics in Medieval art and architecture in Europe, the Mediterranean area, and the Near East between the fourth and fifteenth centuries.  Examples:  the Art of the Migration Period, Medieval City.",YH,
Greek Art,2,mid,UCI,ART HIS,103,Studies in Greek Art.,"Topics in Greek art, architecture, and topography from the Prehistoric period through the end of the fourth century B.C.E.",UCD,AHI,172,Greek Art & Architecture,Examination of the origin and development of the major monuments of Greek art and architecture from the 8th century to the mid-5th century B.C.,YH,
Asian American Cultural Studies,1,mid,UCD,ASA,004,Asian American Cultural Studies,"Interdisciplinary course examines the multiple ways in which race, class, sexuality and gender, as well as the recent turn to transnationalism and postcolonial theory, have changed the ways we read Asian American literature and see art, theater and film.",UCLA,ASIA AM,30,Asian American Literature and Culture,"Multidisciplinary introduction to Asian American literature and cultural production. Exploration of cultural politics and creative expression of Asia Pacific Americans in their own terms and in context of emergence and reception of artistic works--from personal, local, regional, national, and to global/imperial. Implicit and explicit comparison of Asian American cultural production to diverse experiences of other aggregated groupings, historic and emergent. Addresses intersectional issues of gendering, sexuality, non-secularity, and socioeconomic conditions.",YH,
Asian American Women,2,mid,UCLA,ASIA AM,50,Asian American Women,"Overview of history of feminist theory and intersection of gender, class, race/ethnicity from cross-cultural perspectives, with focus on Asian American women's lived experiences in U.S. Topics include Asian American women's roles in family life, work, community organization, social change, and cultural creativity. Examination of broader structural forces that affect women in society, such as racialization, immigration, global capitalism, colonialism and postcolonialism, and social movements.",UCD,ASA,112,Asian American Women,"Experiences of Asian American women from major ethnic subgroups comparatively examined in their social, economic and historical contexts using theoretical perspectives from social sciences, humanities/arts: identity, racialization, immigration, gender, sexuality, labor, socialization, cultural expression, social movements and feminist theorizing.",YH,
Asian American Women.,1,mid,UCI,ASIANAM,162,Asian American Women.,"Examines the representations and experiences of Asian American women from diverse perspectives. Explores the commonalities and differences among various groups of Asian American women, with particular focus on history, culture, values, and family roles.",UCLA,ASIA AM,50,Asian American Women,"Overview of history of feminist theory and intersection of gender, class, race/ethnicity from cross-cultural perspectives, with focus on Asian American women's lived experiences in U.S. Topics include Asian American women's roles in family life, work, community organization, social change, and cultural creativity. Examination of broader structural forces that affect women in society, such as racialization, immigration, global capitalism, colonialism and postcolonialism, and social movements.",YH,
Astronomy and Astrophysics,2,easy,UCSC,ASTR,2,Astronomy and Astrophysics,"An overview of the main ideas in our current view of the universe, and how they originated. Galaxies, quasars, stars, pulsars, and planets. Intended primarily for nonscience majors interested in a one-quarter survey of classical and modern astronomy. ",UCLA,ASTR   ,3,Nature of the Universe,"No special mathematical preparation required beyond that necessary for admission to UCLA in freshman standing. Course for general UCLA students, normally not intending to major in physical sciences. Introduction to vast range of cosmic phenomena including planets in our solar system and beyond, stars, supernova explosions, black holes, galaxies, and universe as whole.",YH,
Cosmology,2,mid,UCSC,ASTR,113,Introduction to Cosmology,Physical examination of our evolving universe: the Big Bang model; simple aspects of general relativity; particle physics in the early universe; production of various background radiations; production of elements; tests of geometry of the universe; dark energy and dark matter; and formation and evolution of galaxies and large-scale structure.,UCLA,ASTR   ,141,Cosmology,"Designed for upper-division Astrophysics and Physics majors. In-depth exploration of Big Bang model for universe. Examination of what expanding universe is, how cosmologists measure its properties, and how universe has changed since Big Bang. Topics include cosmic expansion, dark matter, inflation, cosmic microwave background, Big Bang nucleosynthesis, and structure formation.",YH,
Genes,1,mid,UCD,BIS,101,Genes & Gene Expression,,UCI,BIO SCI,97,Genetics.,"Introduction to genetics. Basic features of replication and expression of DNA, cell division, and gene transmission. Recombination and mutation in diploid organisms.",YH,
Latino Literature,1,mid,UCI,CHC/LAT,134,U.S. Latino Literature and Cultures.,"Focuses on aspects of literature, art, cultural production, and history of the multifaceted Latino cultures that have developed within the United States.  Focuses on one group, such as Caribbean Americans, Chicanos, Central Americans, or a comparative perspective of several groups.",UCLA,CCAS   ,M105D,Introduction to Latina/Latino Literature,"Survey of U.S. Latina/Latino literature and introduction to its major critical trends, with emphasis on groups of Caribbean, Mexican, South American, and Central American origin. Representative works read in relation to such topics as relationship between Latina/Latino populations and U.S. cultural sphere, struggle for self-determination, experiences of exile and migration, border zones, enclaves and language, and mestizaje and its impact on cultural production.",YH,
Operating System,2,easy,UCD,ECS,150,Operating Systems & System Programming,"Basic concepts of operating systems and system programming. Processes and interprocess communication/synchronization; virtual memory, program loading and linking; file and I/O subsystems; utility programs. Study of a real operating system.",UCLA,COM SCI,111,Operating Systems Principles,"Introduction to operating systems design and evaluation. Computer software systems performance, robustness, and functionality. Kernel structure, bootstrapping, input/output (I/O) devices and interrupts. Processes and threads; address spaces, memory management, and virtual memory. Scheduling, synchronization. File systems: layout, performance, robustness. Distributed systems: networking, remote procedure call (RPC), asynchronous RPC, distributed file systems, transactions. Protection and security. Exercises involving applications using, and internals of, real-world operating systems.",YH,
Macroeconomic Theory,0,negative,UCD,ECN,101,Intermediate Macro Theory,"Theory of income, employment and prices under static and dynamic conditions, and long term growth.",UCI,ECON,100A,Intermediate Economics I.,"Determinants of supply and demand; operation of competitive and monopolistic markets; imperfections of the market system, explanations of unemployment, inflation, recessions; public policy for macroeconomic problems.",YH,
Macroeconomic Theory,2,mid,UCLA,ECON   ,102,Macroeconomic Theory,"Theory of income, employment, and price level. Analysis of secular growth and business fluctuations; introduction to monetary and fiscal policy.",UCSC,ECON,100B,Intermediate Macroeconomics,"Covers major theoretical issues arising in the study of income, employment, interest rates, and the price level. Examines the role of monetary and fiscal policy in economic stabilization. Also considers these issues as they relate to the global economy. ",YH,
Macroeconomic Theory,2,mid,UCD,ECN,101,Intermediate Macro Theory,"Theory of income, employment and prices under static and dynamic conditions, and long term growth.",UCSC,ECON,100B,Intermediate Macroeconomics,"Covers major theoretical issues arising in the study of income, employment, interest rates, and the price level. Examines the role of monetary and fiscal policy in economic stabilization. Also considers these issues as they relate to the global economy. ",YH,
Politics ,2,easy,UCSC,POLI,20,American Politics,"Introduces the study of politics through an analysis of the United States political system and processes. Topics vary, but may include political institutions, public policies, parties and electoral politics, and social forces.
",UCD,POL ,001,American National Government,"Survey of American national government, including the constitutional system, political culture, parties, elections, the presidency, Congress, and the courts.",PB,
Environmental Politics,1,niche,UCSC,ENVS,110,"Institutions, the Environment, and Economic Systems","Debate about environmental policy is often couched in economic terms. Environmental issues have become questions of political economy, as they influence international and domestic policy and reflect on the functioning of the market system. Examines the assumptions and implications of alternative approaches to political economy, as these pertain to questions of environmental policy and political institutions.",UCD,POL ,174,Government & the Economy,"Relationship between government, political institutions and the economy. Relationship between capitalism and democracy, economic inequality, electoral accountability, distributive politics, immigration, and climate policy. Empirical research and political responses to economic changes.",PB,
Microeconomics,2,easy,UCD,ECN,001A,Principles of Microeconomics,Analysis of the allocation of resources and the distribution of income through a price system; competition and monopoly; the role of public policy; comparative economic systems.,UCI,ECON,20A,Basic Economics I.,"The fundamentals of microeconomics. The behavior of firms and consumers: markets, supply/demand, utility maximization, resource allocation, and efficiency.",PB,
English ,1,mid,UCD,ENL,003,Introduction to Literature,"Introductory study of several genres of English literature, emphasizing both analysis of particular works and the range of forms and styles in English prose and poetry. Frequent writing assignments.",UCSC,LIT,1,Literary Interpretation,"Close reading and analysis of literary texts, including representative examples of several different genres and periods. An introduction to practical criticism required of all literature majors; should be completed prior to upper-division work in literature.",PB,
Sociology ,0,negative,UCD,SOC ,130,Race Relations,"Functions of the social definitions of race and racial groups. Analysis of racial conflict, oppression, and other forms of ethnic stratification. Models of ethnic interaction and social change. Emphasis on racial relationships within the U.S.",UCI,SOCIOL,150,Sociological Lens on Religion.,"Examines the effects of religious beliefs, belonging, and institutions on social dynamics, including class, gender, and racial stratification, politics, and social movements. Additional topics: the sociological significance of conversion, commitment, and secularization/sacralization.",PB,
Business Law,2,easy,UCLA,MGMT,108,Business Law  ,"Essentials of contracts, agency, partnerships, corporations, and other select areas of law in a business environment.",UCD,ARE,018,Business Law,"General principles of business law in the areas of contracts, business organization, real property, uniform commercial code, sales, commercial paper, employment relations, and creditor-debtor against a background of the history and functioning of our present legal system.",PB,
Beatles,1,niche,UCD,MUS,116,Introduction to the Music of The Beatles,"Survey of music of The Beatles, focusing on the songs of Lennon and McCartney. Emphasis on understanding their evolution as musicians, composers and cultural figures. Discussion of their musical influences in wider cultural contexts.",UCI,MUSIC,8,The Beatles and the Sixties.,"Through a study of the music of the Beatles, students are introduced to selected broader historical and cultural themes (e.g., race and music, gender and music, music and the counterculture) while developing an understanding of the basic elements of music.",PB,
Business Statistics ,2,easy,UCD,STA,103,Applied Statistics for Business & Economics,"Descriptive statistics; probability; random variables; expectation; binomial, normal, Poisson, other univariate distributions; joint distributions; sampling distributions, central limit theorem; properties of estimators; linear combinations of random variables; testing and estimation; Minitab computing package. May be taught abroad.",UCSC,STAT,17,Statistical Methods for Business and Economics,"Introduction to statistical methods as practiced in business and economics. Topics include descriptive methods, probability, random variables, expected values, sampling, estimation, confidence intervals, hypothesis testing, one- and two-sample problems, power and sample size calculations, correlation, and simple linear regression.",PB,
Managment ,1,mid,UCLA,MGMT ,160,Entrepreneurship and Venture Initiation,"Introduction to key concepts of entrepreneurship, including new product development, finance, business plan development, and technology commercialization. Basic tools and personal characteristics required for entrepreneurship. Terminology used by lawyers, accountants, venture capitalists, and other investors when forming and financing new companies to be developed as startups, spinouts from existing company, or acquisitions of existing company (or its assets). Assessment of feasibility of business concept and communication of concept to potential investors, employees, and business partners. Discussion of technology feasibility, intellectual property, and licensing.",UCD,MGT ,151,Management of Innovation & Entrepreneurship,"Innovation and entrepreneurship in established companies or new ventures. Knowledge, skills, and hands-on experiences in creative problem-solving, decision-making, building new ventures, and innovation strategy.",PB,
Womens Studies ,1,niche,UCSC,SOCY,187,Feminist Theory,"Examination of shifts in 20th- and 21st-century feminist theory and epistemology. Considers various deconstructive challenges to second wave feminism based on the politics of race, ethnicity, nation, sexuality, and class. Focus changes regularly.",UCD,WMS,137,Contemporary Debates in Western Feminist Theory,"Interpretations of poststructuralist, postmodern, and postcolonial thought from a critical feminist perspective; includes methods of applying theory to concrete social/cultural problems of gender, race, sexuality, class.",PB,
Film ,1,mid,UCLA,FILM TV,10A,American Television History,"Critical survey of American television history from its inception to present. Examination of interrelationships between program forms, industrial paradigms, social trends, and culture. Starting with television's hybrid origins in radio, theater, and film, contextualization, viewing, and discussion of key television shows, as well as Hollywood films that comment on radio and television. Consideration of television programs and series in terms of sociocultural issues (consumerism, lifestyle, gender, race, national identity) and industrial practice (programming, policy, regulation, business).",UCI,FLM&MDA,101D,History of Radio and Television.,"The aesthetic, industrial, and socio-historical development of radio and television. Includes rise of broadcasting, transition to cable, and emergence of streaming. ",PB,
Anthropology Bio,2,easy,UCSC,ANTH,1,Introduction to Biological Anthropology,Study of evolution illustrated by Pleistocene hominid fossils and variation in living human groups. Behavior and evolution of primates examined as they contribute to the understanding of human evolution. Required for all anthropology majors.,UCD,ANT,001,Human Evolutionary Biology,Evolutionary theory and mechanisms of evolution; basic population and quantitative genetics; primatology; biological and cultural diversity within Homo sapiens; paleoanthropology.,PB,
Anthropology Bio,0,negative,UCSC,ANTH,100,History and Theory of Biological Anthropology,"Provides an historical overview from the 18th century to the present of race, ape-human relationships, and human nature. Emergence of an evolutionary framework and of fossil, genetic, and primate information becomes the basis for reformulating ideas about human biology within anthropology.",UCD,ANT,001,Human Evolutionary Biology,Evolutionary theory and mechanisms of evolution; basic population and quantitative genetics; primatology; biological and cultural diversity within Homo sapiens; paleoanthropology.,TT,
Info Tech Managment ,1,mid,UCSC,TIM ,50,Technology Information Management,Business Information Systems,UCD,MGT ,120,Managing & Using Information Technology,"Develop an analytical framework to manage and monitor business systems concerned with operational, human, and organizational interactions. Introduction to computer hardware, systems software, and fundamental principles of database management systems. Concepts of data visualization.",PB,
Multivariate Statistics ,2,easy,UCI,STATS,140,Multivariate Statistical Methods.,"Theory and application of multivariate statistical methods. Topics include statistical inference for the multivariate normal model and its extensions to multiple samples and regression, use of statistical packages for data visualization and reduction, discriminant analysis, cluster analysis, and factor analysis.",UCD,STA ,135,Multivariate Data Analysis,Multivariate normal distribution; Mahalanobis distance; sampling distributions of the mean vector and covariance matrix; Hotellings T2; simultaneous inference; one-way MANOVA; discriminant analysis; principal components; canonical correlation; factor analysis. Intensive use of computer analyses and real data sets.,PB,
Shakespeare,2,easy,UCSC,LIT ,111D,William Shakespeare,"Study of representative works by William Shakespeare. Course topic changes; please see the Class Search for the current topic. Critical approach designations: Canons, Media. Distribution requirements: Poetry, Pre-1750. ",UCI,ENGLISH,9,Shakespeare.,"Plays by William Shakespeare are used to explore the playwright’s poetic gifts,  theatrical imagination, and inquiry into human relationships and the human condition.",PB,
Probability,1,mid,UCLA,MATH,70,Introduction to Probability,"Introduction to probability through applications and examples. Topics include laws of large numbers, statistics, chance trees, conditional probability, Bayes' rule, continuous and discrete random variables, jointly distributed random variables, multivariate normal and conditional distributions. In-depth discussion of betting schemes in gambling, occurrence of rare events, coincidences, and statistical predictions.",UCD,MAT,135A,Probability,"Probability space; discrete probability, combinatorial analysis; independence, conditional probability; random variables, discrete and continuous distributions, probability mass function, joint and marginal density functions; expectation, moments, variance, Chebyshev inequality; sums of random variables, random walk, large number law, central limit theorem.",PB,
Time Series Analysis,1,mid,UCD,STA ,137,Applied Time Series Analysis,"Time series relationships; univariate time series models: trend, seasonality, correlated errors; regression with correlated errors; autoregressive models; autoregressive moving average models; spectral analysis: cyclical behavior and periodicity, measures of periodicity, periodogram; linear filtering; prediction of time series; transfer function models.",UCLA,STATS ,170,Introduction to Time-Series Analysis,"Exploration of standard methods in temporal and frequency analysis used in analysis of numerical time-series data. Examples provided throughout, and students implement techniques discussed.",PB,
